Pt_ID		xo		yo		zo		x		y		z
Pt_01	-5756029.090	-136762.372	-2727465.155	-5756029.090	-136762.372	-2727465.155
Pt_02	-6333101.168	414653.575	556356.913	-6333101.168	414653.575	556356.913
Pt_03	1117304.368	-1088903.371	6177018.811	1117304.368	-1088903.371	6177018.811
Pt_04	-3469602.854	4582473.029	2748169.931	-3469602.854	4582473.029	2748169.931
Pt_05	-4449125.778	1462825.630	4319150.609	-4449125.778	1462825.630	4319150.609
Pt_06	6148947.088	-1434196.943	-850393.932	6148947.088	-1434196.943	-850393.932
Pt_07	6136707.874	1670436.193	-374299.874	6136707.874	1670436.193	-374299.874
Pt_08	6232795.807	-1069310.319	773610.284	6232795.807	-1069310.319	773610.284
Pt_09	2106400.304	5243659.859	-2942235.552	2106400.304	5243659.859	-2942235.552
Pt_10	-2748676.609	-4792340.902	3172993.315	-2748676.609	-4792340.902	3172993.315
Pt_11	-5454063.584	-3292472.840	49538.009	-5454063.584	-3292472.840	49538.009
Pt_12	-2761051.143	-5428343.281	1870648.768	-2761051.143	-5428343.281	1870648.768
Pt_13	-3777844.561	4507379.837	-2449705.794	-3777844.561	4507379.837	-2449705.794
Pt_14	-3205380.093	-3020622.084	-4603370.687	-3205380.093	-3020622.084	-4603370.687
Pt_15	2385243.190	-5899438.919	-311249.678	2385243.190	-5899438.919	-311249.678
Pt_16	6080429.056	739333.191	-1752543.844	6080429.056	739333.191	-1752543.844
Pt_17	4500491.616	2618766.452	3671141.305	4500491.616	2618766.452	3671141.305
Pt_18	5209790.551	-831806.182	3571529.349	5209790.551	-831806.182	3571529.349
Pt_19	-3484420.800	-4882423.520	2147182.634	-3484420.800	-4882423.520	2147182.634
Pt_20	509711.821	4303710.790	-4669893.820	509711.821	4303710.790	-4669893.820
Pt_21	-1520581.205	1054596.969	-6096334.885	-1520581.205	1054596.969	-6096334.885
Pt_22	4555538.353	4388088.410	762490.274	4555538.353	4388088.410	762490.274
Pt_23	-675501.166	5804487.707	-2537964.072	-675501.166	5804487.707	-2537964.072
Pt_24	-149805.681	3036257.918	5598958.574	-149805.681	3036257.918	5598958.574
Pt_25	-856082.368	1519333.318	6127674.131	-856082.368	1519333.318	6127674.131
Pt_26	3320887.743	4708398.964	-2718883.005	3320887.743	4708398.964	-2718883.005
Pt_27	-2939435.167	4154163.397	3833052.096	-2939435.167	4154163.397	3833052.096
Pt_28	2806190.011	2690761.524	5047250.840	2806190.011	2690761.524	5047250.840
Pt_29	4665110.382	-4157177.347	1242683.642	4665110.382	-4157177.347	1242683.642
Pt_30	3384893.524	2278004.735	4893141.247	3384893.524	2278004.735	4893141.247
Pt_31	2657125.524	-1249520.013	5654027.298	2657125.524	-1249520.013	5654027.298
Pt_32	-5106231.450	3758151.016	626372.350	-5106231.450	3758151.016	626372.350
Pt_33	5418019.192	1663129.096	2910104.919	5418019.192	1663129.096	2910104.919
Pt_34	-3452178.215	5264552.829	978054.231	-3452178.215	5264552.829	978054.231
Pt_35	-178088.291	-2014425.990	-6041524.103	-178088.291	-2014425.990	-6041524.103
Pt_36	1755108.312	-6086465.561	-681302.275	1755108.312	-6086465.561	-681302.275
Pt_37	-5851271.597	-1696200.561	1864179.541	-5851271.597	-1696200.561	1864179.541
Pt_38	-2482971.930	-5861015.324	270168.023	-2482971.930	-5861015.324	270168.023
Pt_39	4834545.093	-3817029.150	-1626992.076	4834545.093	-3817029.150	-1626992.076
Pt_40	2911273.017	1043822.555	5569969.919	2911273.017	1043822.555	5569969.919
Pt_41	-1585099.931	4521755.977	4198907.250	-1585099.931	4521755.977	4198907.250
Pt_42	4370438.760	1305290.113	4448047.186	4370438.760	1305290.113	4448047.186
Pt_43	2069421.090	5802517.845	-1624168.715	2069421.090	5802517.845	-1624168.715
Pt_44	-1166484.665	-6149726.485	1187357.857	-1166484.665	-6149726.485	1187357.857
Pt_45	-750178.435	-4182373.644	4747064.779	-750178.435	-4182373.644	4747064.779
Pt_46	2283972.653	-2205016.292	5523677.496	2283972.653	-2205016.292	5523677.496
Pt_47	-5211727.941	-2969808.486	2146571.784	-5211727.941	-2969808.486	2146571.784
Pt_48	4659806.546	2217261.196	-3736254.373	4659806.546	2217261.196	-3736254.373
Pt_49	5361650.050	-2828307.227	1960364.244	5361650.050	-2828307.227	1960364.244
Pt_50	1025453.820	-3131095.396	-5452919.134	1025453.820	-3131095.396	-5452919.134
