Pt_ID	xo	yo	zo	lat(度分秒)	lon(度分秒)	ht	e	n	u	Az(度分秒)	El(度分秒)	Sr (Unit:M)	
Pt_01 ,-5756029.090,-136762.372,-2727465.155,-25.347440272,-178.638917121,0.000,0.000,-0.000,0.000,NaN,NaN,0.000
Pt_02 ,-6333101.168,414653.575,556356.913,5.009819142,176.253961940,0.000,-1925751.745,-2930422.813,749628.271,33.311249745,12.067017679,3585783.065
Pt_03 ,1117304.368,-1088903.371,6177018.811,75.825042301,-44.262459581,0.000,-2775228.621,-4386316.502,9683377.445,32.321594679,61.807561294,10986785.931
Pt_04 ,-3469602.854,4582473.029,2748169.931,25.553654655,127.131052658,0.000,-7009810.412,-3414013.407,4147249.186,64.032360433,28.008708698,8831342.217
Pt_05 ,-4449125.778,1462825.630,4319150.609,42.682813580,161.799680366,0.000,-4548599.967,-5189710.261,3904548.018,41.233434466,29.501187956,7928956.393
Pt_06 ,6148947.088,-1434196.943,-850393.932,-7.670669967,-13.129096736,-0.000,511393.107,3528129.375,11501864.830,8.247434343,72.779194436,12041682.372
Pt_07 ,6136707.874,1670436.193,-374299.874,-3.368099105,15.227207249,0.000,-2791640.147,3198778.645,11644338.946,-41.111874722,69.967659190,12394194.973
Pt_08 ,6232795.807,-1069310.319,773610.284,6.974455686,-9.734999709,-0.000,-533141.097,2238949.669,12205344.616,-13.393898544,79.321182881,12420449.760
Pt_09 ,2106400.304,5243659.859,-2942235.552,-27.504411855,68.114463524,-0.000,-5289008.901,3657727.455,6967285.002,-55.333373126,47.293906694,9481331.425
Pt_10 ,-2748676.609,-4792340.902,3172993.315,29.870209446,-119.836691986,0.000,2184542.464,-3655299.439,5059273.551,-30.864104480,49.913031328,6612842.704
Pt_11 ,-5454063.584,-3292472.840,49538.009,0.445510511,-148.881738716,-0.000,1992465.126,-2217706.054,1384685.289,-41.937639191,24.912851210,3287170.633
Pt_12 ,-2761051.143,-5428343.281,1870648.768,17.074764964,-116.959530094,0.000,3365480.606,-2605344.663,4548205.426,-52.255203385,46.900321669,6229000.973
Pt_13 ,-3777844.561,4507379.837,-2449705.794,-22.613251585,129.967937710,-0.000,-4759092.095,718593.973,1848508.850,-81.413548202,21.009925104,5155804.480
Pt_14 ,-3205380.093,-3020622.084,-4603370.687,-46.265476788,-136.699766254,-0.000,3668233.526,2569700.605,1605066.327,54.987678118,19.716301564,4757681.822
Pt_15 ,2385243.190,-5899438.919,-311249.678,-2.800250258,-67.985681364,0.000,4749708.583,1378506.407,8355524.829,73.815702852,59.378348438,9709521.446
Pt_16 ,6080429.056,739333.191,-1752543.844,-15.966867415,6.932691869,0.000,-1283915.839,4285897.765,11067084.372,-16.676509154,67.988055263,11937240.721
Pt_17 ,4500491.616,2618766.452,3671141.305,35.185595075,30.194462982,0.000,-5432980.948,-801652.397,11728870.343,81.606403474,64.909610159,12950919.970
Pt_18 ,5209790.551,-831806.182,3571529.349,34.096723587,-9.071399813,0.000,-1941687.849,-490311.448,12366243.166,75.828044170,80.801159547,12527351.159
Pt_19 ,-3484420.800,-4882423.520,2147182.634,19.695689509,-125.514168330,0.000,2703967.612,-3130271.232,3996440.873,-40.820865822,44.013891050,5751658.760
Pt_20 ,509711.821,4303710.790,-4669893.820,-47.137837594,83.245613819,-0.000,-3626188.597,4371980.955,4862155.947,-39.672837004,40.563502128,7476899.201
Pt_21 ,-1520581.205,1054596.969,-6096334.885,-73.114717652,145.256811525,0.000,219066.108,4603810.836,2505761.178,2.724287253,28.531362214,5246132.219
Pt_22 ,4555538.353,4388088.410,762490.274,6.873716309,43.927386571,0.000,-5984345.603,1647182.655,10629740.389,-74.610508144,59.718563600,12309223.523
Pt_23 ,-675501.166,5804487.707,-2537964.072,-23.475816795,96.637975703,0.000,-6018892.209,2147009.282,4604679.665,-70.368087818,35.775256150,7876533.952
Pt_24 ,-149805.681,3036257.918,5598958.574,61.500277990,92.824621241,0.000,-6657270.513,-4365776.454,8271555.725,56.743507923,46.095638075,11480326.165
Pt_25 ,-856082.368,1519333.318,6127674.131,74.113801229,119.399485947,0.000,-5362075.475,-5134646.479,7854263.762,46.241214466,46.612952918,10807678.155
Pt_26 ,3320887.743,4708398.964,-2718883.005,-25.262067348,54.804244631,0.000,-4847386.478,3982849.449,8157134.384,-50.591804596,52.435575451,10290728.194
Pt_27 ,-2939435.167,4154163.397,3833052.096,36.987485676,125.282757498,0.000,-7035714.798,-4086661.400,5052535.033,59.850042283,31.839210984,9577588.130
