Pt_ID	xo	yo	zo	So	xr	yr	zr	Sr	ex	ey	ez (Unit:KM)	
Pt_01 ,3195.472,-1407.686,-26138.803,26371,3195.513,-1407.664,-26138.789,26370.990,0.042,0.022,0.014 
Pt_02 ,-22451.847,13493.885,3042.904,26371,-22451.820,13493.928,3042.944,26371.003,0.027,0.042,0.040 
Pt_03 ,79.588,1836.360,-26306.864,26371,79.635,1836.392,-26306.840,26370.979,0.047,0.032,0.023 
Pt_04 ,14950.561,-10958.498,-18756.910,26371,14950.594,-10958.461,-18756.936,26371.021,0.033,0.037,-0.026 
Pt_05 ,-15143.779,-18360.258,-11357.663,26371,-15143.774,-18360.270,-11357.662,26371.005,0.005,-0.012,0.000 
Pt_06 ,10222.116,12432.671,-20889.391,26371,10222.096,12432.671,-20889.351,26370.960,-0.020,-0.001,0.040 
Pt_07 ,8680.427,17474.651,-17740.248,26371,8680.498,17474.665,-17740.224,26371.017,0.071,0.014,0.024 
Pt_08 ,1393.127,-1420.203,26295.853,26371,1393.137,-1420.175,26295.850,26370.996,0.010,0.028,-0.003 
Pt_09 ,1977.402,5870.585,25633.099,26371,1977.430,5870.638,25633.108,26371.023,0.028,0.053,0.009 
Pt_10 ,-647.794,-17406.514,19799.578,26371,-647.755,-17406.496,19799.609,26371.011,0.039,0.018,0.031 
Pt_11 ,-12928.741,-4432.570,22552.818,26371,-12928.714,-4432.514,22552.818,26370.977,0.028,0.057,0.000 
Pt_12 ,-7529.576,-24120.561,7545.441,26371,-7529.574,-24120.524,7545.490,26370.980,0.002,0.037,0.049 
Pt_13 ,9206.551,12254.282,21459.302,26371,9206.564,12254.337,21459.311,26371.037,0.013,0.054,0.009 
Pt_14 ,-2430.026,26185.163,-1965.159,26371,-2430.004,26185.191,-1965.089,26371.021,0.022,0.028,0.070 
Pt_15 ,-3065.163,22460.286,-13474.790,26371,-3065.101,22460.295,-13474.792,26371.001,0.062,0.009,-0.002 
Pt_16 ,-15512.241,-18105.517,-11268.996,26371,-15512.238,-18105.529,-11268.966,26370.993,0.003,-0.012,0.030 
Pt_17 ,-16619.904,11036.215,17245.590,26371,-16619.860,11036.244,17245.577,26370.975,0.045,0.029,-0.013 
Pt_18 ,19031.996,-17627.562,-4741.501,26371,19032.029,-17627.516,-4741.494,26370.992,0.033,0.045,0.007 
Pt_19 ,-10708.050,12411.951,20656.979,26371,-10708.031,12411.969,20656.989,26371.009,0.019,0.018,0.010 
Pt_20 ,4732.110,-21172.162,-14992.543,26371,4732.108,-21172.150,-14992.508,26370.971,-0.001,0.011,0.035 
Pt_21 ,639.647,722.719,-26353.333,26371,639.665,722.736,-26353.285,26370.952,0.018,0.017,0.049 
Pt_22 ,-15734.224,-20614.277,4787.005,26371,-15734.201,-20614.279,4787.038,26370.994,0.023,-0.002,0.033 
Pt_23 ,22624.518,-12269.341,-5746.660,26371,22624.506,-12269.329,-5746.644,26370.981,-0.012,0.013,0.016 
Pt_24 ,3021.775,-14689.983,21691.079,26371,3021.804,-14689.962,21691.125,26371.029,0.030,0.020,0.045 
Pt_25 ,-897.193,-16667.321,20416.295,26371,-897.189,-16667.294,20416.340,26371.018,0.004,0.026,0.045 
Pt_26 ,-3788.770,22451.466,-13304.381,26371,-3788.748,22451.489,-13304.353,26371.003,0.023,0.023,0.028 
Pt_27 ,-7847.800,-23752.434,-8346.469,26371,-7847.766,-23752.394,-8346.430,26370.941,0.033,0.040,0.039 
Pt_28 ,6389.914,24134.210,8493.441,26371,6389.917,24134.238,8493.477,26371.037,0.002,0.028,0.035 
Pt_29 ,-2092.410,4573.529,25886.952,26371,-2092.393,4573.599,25886.953,26371.011,0.018,0.070,0.000 
Pt_30 ,3602.356,-26105.346,-981.632,26371,3602.389,-26105.313,-981.588,26370.971,0.034,0.033,0.044 
Pt_31 ,3.602,-0.918,-26371.000,26371,3.581,-0.848,-26370.991,26370.991,-0.021,0.070,0.009 
Pt_32 ,3212.209,831.010,-26161.437,26371,3212.260,831.017,-26161.427,26370.997,0.051,0.007,0.010 
Pt_33 ,9892.250,-11089.864,21785.040,26371,9892.335,-11089.826,21785.069,26371.040,0.086,0.038,0.029 
Pt_34 ,13225.206,-10348.005,-20333.282,26371,13225.255,-10347.987,-20333.265,26371.004,0.049,0.018,0.017 
Pt_35 ,4534.148,-17180.144,-19486.246,26371,4534.165,-17180.104,-19486.224,26370.961,0.017,0.040,0.022 
Pt_36 ,12303.476,-16244.588,16738.205,26371,12303.511,-16244.548,16738.244,26371.017,0.036,0.040,0.040 
Pt_37 ,511.171,-24779.108,9009.116,26371,511.170,-24779.137,9009.167,26371.045,-0.001,-0.030,0.051 
Pt_38 ,3924.589,-11578.588,-23365.863,26371,3924.661,-11578.596,-23365.843,26370.997,0.072,-0.008,0.020 
Pt_39 ,21735.472,10325.379,10788.208,26371,21735.521,10325.367,10788.241,26371.049,0.049,-0.011,0.033 
Pt_40 ,22124.810,14252.832,1667.092,26371,22124.855,14252.867,1667.111,26371.058,0.045,0.035,0.019 
Pt_41 ,15433.319,-7707.218,19945.955,26371,15433.322,-7707.156,19945.985,26371.007,0.003,0.062,0.031 
Pt_42 ,2247.983,4156.518,25944.163,26371,2248.016,4156.535,25944.199,26371.041,0.033,0.017,0.036 
Pt_43 ,-772.136,1483.209,-26317.932,26371,-772.125,1483.254,-26317.922,26370.993,0.011,0.045,0.010 
Pt_44 ,-3540.559,22666.814,13004.216,26371,-3540.542,22666.853,13004.248,26371.047,0.017,0.039,0.032 
Pt_45 ,-337.196,-3505.752,26134.759,26371,-337.185,-3505.753,26134.799,26371.040,0.011,-0.001,0.040 
Pt_46 ,-22712.292,-11919.212,-6124.851,26371,-22712.293,-11919.177,-6124.823,26370.978,-0.001,0.035,0.027 
Pt_47 ,12.856,-77.080,-26370.884,26371,12.858,-77.074,-26370.816,26370.932,0.002,0.006,0.068 
Pt_48 ,4602.694,1229.870,-25937.083,26371,4602.713,1229.933,-25937.073,26370.997,0.020,0.063,0.010 
Pt_49 ,-3831.549,8855.718,24542.313,26371,-3831.567,8855.742,24542.320,26371.017,-0.017,0.024,0.007 
Pt_50 ,-9652.127,-21971.874,-10931.735,26371,-9652.087,-21971.808,-10931.754,26370.938,0.040,0.066,-0.019 
Mean ,905.359,-2687.465,-374.005,26371,905.383,-2687.439,-373.982,26371.001,0.024,0.027,0.024 
Std ,10776.206,14960.745,19008.487,0,10776.210,14960.747,19008.487,0.0299,0.0236,0.0230,0.0204 
